127.0.0.1 - - [29/Nov/2017:17:05:37 +0700] "GET / HTTP/1.1" 404 1069
0:0:0:0:0:0:0:1 - - [29/Nov/2017:17:05:38 +0700] "GET /webraovat/index.html HTTP/1.1" 200 9807
0:0:0:0:0:0:0:1 - - [29/Nov/2017:17:05:38 +0700] "GET /webraovat/content/css/main.css HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [29/Nov/2017:17:05:38 +0700] "GET /webraovat/plugins/bootstrap-3/css/bootstrap.min.css HTTP/1.1" 200 117098
0:0:0:0:0:0:0:1 - - [29/Nov/2017:17:05:38 +0700] "GET /webraovat/admin-template/css/dataTables/dataTables.responsive.css HTTP/1.1" 200 2444
0:0:0:0:0:0:0:1 - - [29/Nov/2017:17:05:38 +0700] "GET /webraovat/admin-template/css/morris.css HTTP/1.1" 200 433
0:0:0:0:0:0:0:1 - - [29/Nov/2017:17:05:38 +0700] "GET /webraovat/admin-template/css/timeline.css HTTP/1.1" 200 3423
0:0:0:0:0:0:0:1 - - [29/Nov/2017:17:05:38 +0700] "GET /webraovat/admin-template/css/metisMenu.min.css HTTP/1.1" 200 781
0:0:0:0:0:0:0:1 - - [29/Nov/2017:17:05:38 +0700] "GET /webraovat/admin-template/css/dataTables/dataTables.bootstrap.css HTTP/1.1" 200 7921
0:0:0:0:0:0:0:1 - - [29/Nov/2017:17:05:38 +0700] "GET /webraovat/admin-template/css/startmin.css HTTP/1.1" 200 16268
0:0:0:0:0:0:0:1 - - [29/Nov/2017:17:05:39 +0700] "GET /webraovat/admin-template/css/font-awesome.min.css HTTP/1.1" 200 29063
0:0:0:0:0:0:0:1 - - [29/Nov/2017:17:05:39 +0700] "GET /webraovat/content/js/jquery-3.2.1.min.js HTTP/1.1" 200 86659
0:0:0:0:0:0:0:1 - - [29/Nov/2017:17:05:39 +0700] "GET /webraovat/admin-template/js/dataTables/jquery.dataTables.min.js HTTP/1.1" 200 78746
0:0:0:0:0:0:0:1 - - [29/Nov/2017:17:05:39 +0700] "GET /webraovat/admin-template/js/metisMenu.min.js HTTP/1.1" 200 1879
0:0:0:0:0:0:0:1 - - [29/Nov/2017:17:05:39 +0700] "GET /webraovat/plugins/bootstrap-3/js/bootstrap.min.js HTTP/1.1" 200 35452
0:0:0:0:0:0:0:1 - - [29/Nov/2017:17:05:39 +0700] "GET /webraovat/admin-template/js/dataTables/dataTables.bootstrap.min.js HTTP/1.1" 200 1942
0:0:0:0:0:0:0:1 - - [29/Nov/2017:17:05:39 +0700] "GET /webraovat/admin-template/js/startmin.js HTTP/1.1" 200 1181
0:0:0:0:0:0:0:1 - - [29/Nov/2017:17:05:39 +0700] "GET /webraovat/admin-template/fonts/fontawesome-webfont.woff2?v=4.6.3 HTTP/1.1" 200 71896
0:0:0:0:0:0:0:1 - - [29/Nov/2017:17:05:39 +0700] "GET /webraovat/app/app.module.js HTTP/1.1" 200 105
0:0:0:0:0:0:0:1 - - [29/Nov/2017:17:05:39 +0700] "GET /webraovat/node_modules/angular/angular.min.js HTTP/1.1" 200 167131
0:0:0:0:0:0:0:1 - - [29/Nov/2017:17:05:39 +0700] "GET /webraovat/node_modules/angular-ui-router/release/angular-ui-router.js HTTP/1.1" 200 175488
0:0:0:0:0:0:0:1 - - [29/Nov/2017:17:05:39 +0700] "GET /webraovat/app/app.controller.js HTTP/1.1" 200 161
0:0:0:0:0:0:0:1 - - [29/Nov/2017:17:05:39 +0700] "GET /webraovat/app/app.state.js HTTP/1.1" 200 3663
0:0:0:0:0:0:0:1 - - [29/Nov/2017:17:05:39 +0700] "GET /webraovat/app/admin/account/account.controller.js HTTP/1.1" 200 207
0:0:0:0:0:0:0:1 - - [29/Nov/2017:17:05:39 +0700] "GET /webraovat/app/admin/category/category.controller.js HTTP/1.1" 200 211
0:0:0:0:0:0:0:1 - - [29/Nov/2017:17:05:39 +0700] "GET /webraovat/app/admin/category/category-create-update.controller.js HTTP/1.1" 200 259
0:0:0:0:0:0:0:1 - - [29/Nov/2017:17:05:39 +0700] "GET /webraovat/app/admin/post/post.controller.js HTTP/1.1" 200 195
0:0:0:0:0:0:0:1 - - [29/Nov/2017:17:05:39 +0700] "GET /webraovat/app/admin/post/post-create-update.controller.js HTTP/1.1" 200 243
0:0:0:0:0:0:0:1 - - [29/Nov/2017:17:05:39 +0700] "GET /webraovat/app/admin/user/user.controller.js HTTP/1.1" 200 195
0:0:0:0:0:0:0:1 - - [29/Nov/2017:17:05:39 +0700] "GET /webraovat/app/admin/report/report.controller.js HTTP/1.1" 200 203
0:0:0:0:0:0:0:1 - - [29/Nov/2017:17:05:39 +0700] "GET /webraovat/app/admin/report/report-create-update.controller.js HTTP/1.1" 200 251
0:0:0:0:0:0:0:1 - - [29/Nov/2017:17:05:39 +0700] "GET /webraovat/app/admin/user/user-create-update.controller.js HTTP/1.1" 200 243
0:0:0:0:0:0:0:1 - - [29/Nov/2017:17:05:40 +0700] "GET /favicon.ico HTTP/1.1" 404 1000
0:0:0:0:0:0:0:1 - - [29/Nov/2017:17:11:59 +0700] "GET /webraovat/app/admin/user/users.html HTTP/1.1" 200 2730
0:0:0:0:0:0:0:1 - - [29/Nov/2017:17:12:02 +0700] "GET /webraovat/app/admin/user/user-create-update.html HTTP/1.1" 200 4271
0:0:0:0:0:0:0:1 - - [29/Nov/2017:17:15:16 +0700] "GET /webraovat/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Nov/2017:17:15:19 +0700] "GET /webraovat/index.html HTTP/1.1" 200 9807
0:0:0:0:0:0:0:1 - - [29/Nov/2017:17:15:19 +0700] "GET /webraovat/content/css/main.css HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [29/Nov/2017:17:15:19 +0700] "GET /webraovat/admin-template/css/metisMenu.min.css HTTP/1.1" 200 781
0:0:0:0:0:0:0:1 - - [29/Nov/2017:17:15:19 +0700] "GET /webraovat/plugins/bootstrap-3/css/bootstrap.min.css HTTP/1.1" 200 117098
0:0:0:0:0:0:0:1 - - [29/Nov/2017:17:15:19 +0700] "GET /webraovat/admin-template/css/timeline.css HTTP/1.1" 200 3423
0:0:0:0:0:0:0:1 - - [29/Nov/2017:17:15:19 +0700] "GET /webraovat/admin-template/css/dataTables/dataTables.responsive.css HTTP/1.1" 200 2444
0:0:0:0:0:0:0:1 - - [29/Nov/2017:17:15:19 +0700] "GET /webraovat/admin-template/css/dataTables/dataTables.bootstrap.css HTTP/1.1" 200 7921
0:0:0:0:0:0:0:1 - - [29/Nov/2017:17:15:19 +0700] "GET /webraovat/admin-template/css/startmin.css HTTP/1.1" 200 16268
0:0:0:0:0:0:0:1 - - [29/Nov/2017:17:15:19 +0700] "GET /webraovat/admin-template/css/morris.css HTTP/1.1" 200 433
0:0:0:0:0:0:0:1 - - [29/Nov/2017:17:15:19 +0700] "GET /webraovat/admin-template/css/font-awesome.min.css HTTP/1.1" 200 29063
0:0:0:0:0:0:0:1 - - [29/Nov/2017:17:15:19 +0700] "GET /webraovat/content/js/jquery-3.2.1.min.js HTTP/1.1" 200 86659
0:0:0:0:0:0:0:1 - - [29/Nov/2017:17:15:19 +0700] "GET /webraovat/plugins/bootstrap-3/js/bootstrap.min.js HTTP/1.1" 200 35452
0:0:0:0:0:0:0:1 - - [29/Nov/2017:17:15:19 +0700] "GET /webraovat/admin-template/js/startmin.js HTTP/1.1" 200 1181
0:0:0:0:0:0:0:1 - - [29/Nov/2017:17:15:19 +0700] "GET /webraovat/admin-template/js/metisMenu.min.js HTTP/1.1" 200 1879
0:0:0:0:0:0:0:1 - - [29/Nov/2017:17:15:19 +0700] "GET /webraovat/admin-template/js/dataTables/jquery.dataTables.min.js HTTP/1.1" 200 78746
0:0:0:0:0:0:0:1 - - [29/Nov/2017:17:15:19 +0700] "GET /webraovat/admin-template/js/dataTables/dataTables.bootstrap.min.js HTTP/1.1" 200 1942
0:0:0:0:0:0:0:1 - - [29/Nov/2017:17:15:19 +0700] "GET /webraovat/node_modules/angular-ui-router/release/angular-ui-router.js HTTP/1.1" 200 175488
0:0:0:0:0:0:0:1 - - [29/Nov/2017:17:15:19 +0700] "GET /webraovat/app/app.state.js HTTP/1.1" 200 3663
0:0:0:0:0:0:0:1 - - [29/Nov/2017:17:15:19 +0700] "GET /webraovat/node_modules/angular/angular.min.js HTTP/1.1" 200 167131
0:0:0:0:0:0:0:1 - - [29/Nov/2017:17:15:19 +0700] "GET /webraovat/app/app.module.js HTTP/1.1" 200 105
0:0:0:0:0:0:0:1 - - [29/Nov/2017:17:15:19 +0700] "GET /webraovat/app/app.controller.js HTTP/1.1" 200 161
0:0:0:0:0:0:0:1 - - [29/Nov/2017:17:15:19 +0700] "GET /webraovat/app/admin/account/account.controller.js HTTP/1.1" 200 207
0:0:0:0:0:0:0:1 - - [29/Nov/2017:17:15:19 +0700] "GET /webraovat/app/admin/category/category-create-update.controller.js HTTP/1.1" 200 259
0:0:0:0:0:0:0:1 - - [29/Nov/2017:17:15:19 +0700] "GET /webraovat/app/admin/category/category.controller.js HTTP/1.1" 200 211
0:0:0:0:0:0:0:1 - - [29/Nov/2017:17:15:19 +0700] "GET /webraovat/app/admin/report/report.controller.js HTTP/1.1" 200 203
0:0:0:0:0:0:0:1 - - [29/Nov/2017:17:15:19 +0700] "GET /webraovat/app/admin/post/post.controller.js HTTP/1.1" 200 195
0:0:0:0:0:0:0:1 - - [29/Nov/2017:17:15:19 +0700] "GET /webraovat/app/admin/post/post-create-update.controller.js HTTP/1.1" 200 243
0:0:0:0:0:0:0:1 - - [29/Nov/2017:17:15:19 +0700] "GET /webraovat/app/admin/report/report-create-update.controller.js HTTP/1.1" 200 251
0:0:0:0:0:0:0:1 - - [29/Nov/2017:17:15:19 +0700] "GET /webraovat/app/admin/user/user-create-update.controller.js HTTP/1.1" 200 243
0:0:0:0:0:0:0:1 - - [29/Nov/2017:17:15:19 +0700] "GET /webraovat/app/admin/user/user.controller.js HTTP/1.1" 200 195
